AnimalID,Crush,Crush-CrushCondition,CrushCondition,DBS-DBSCondition,FileName,Flox,Genotype,MainGroup,MolecularSubtype,MolecularSubtype1,MolecularSubtype2,Opsin,Path,Pharma,RNAIntervention,RNAType,RNAType-RNAIntervention,RealvsSham,Sex,Stim,Stim-StimCondition,StimCondition,StressCondition,Subtype,Subtype-MolecularSubtype,Subtype1,Subtype1-MolecularSubtype1-Subtype2-MolecularSubtype2,Subtype2,Surgery,Surgery-RealvsSham,TimeOfTesting,Timepoint,Timepoint-TimeOfTesting,Timepoint.1,Timepoint-TimeOfTesting.1
62,Crush,Crush-False,False,None,Dystonia_DYT1-GAG3_62_GAG3_M_PreOP_Crush-False_MicrogliaDepletionMonth3DLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,GAG3,Dystonia,GAG3,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Dystonia\DYT1-GAG3\PreOP\Crush-False\MicrogliaDepletionMonth3,MicrogliaDepletionMonth3,None,None,None,None,M,None,None,None,None,DYT1,DYT1-GAG3,None,None,None,None,None,None,PreOP,None,PreOP,None
64,Crush,Crush-False,False,None,Dystonia_DYT1-GAG3_64_GAG3_M_PreOP_Crush-False_MicrogliaDepletionMonth3DLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,GAG3,Dystonia,GAG3,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Dystonia\DYT1-GAG3\PreOP\Crush-False\MicrogliaDepletionMonth3,MicrogliaDepletionMonth3,None,None,None,None,M,None,None,None,None,DYT1,DYT1-GAG3,None,None,None,None,None,None,PreOP,None,PreOP,None
67,Crush,Crush-False,False,None,Dystonia_DYT1-GAG3_67_GAG3_M_PreOP_Crush-False_MicrogliaDepletionMonth3DLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,GAG3,Dystonia,GAG3,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Dystonia\DYT1-GAG3\PreOP\Crush-False\MicrogliaDepletionMonth3,MicrogliaDepletionMonth3,None,None,None,None,M,None,None,None,None,DYT1,DYT1-GAG3,None,None,None,None,None,None,PreOP,None,PreOP,None
72,Crush,Crush-False,False,None,Dystonia_DYT1-GAG3_72_GAG3_M_PreOP_Crush-False_MicrogliaDepletionMonth3DLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,GAG3,Dystonia,GAG3,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Dystonia\DYT1-GAG3\PreOP\Crush-False\MicrogliaDepletionMonth3,MicrogliaDepletionMonth3,None,None,None,None,M,None,None,None,None,DYT1,DYT1-GAG3,None,None,None,None,None,None,PreOP,None,PreOP,None
73,Crush,Crush-False,False,None,Dystonia_DYT1-GAG3_73_GAG3_M_PreOP_Crush-False_MicrogliaDepletionMonth3DLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,GAG3,Dystonia,GAG3,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Dystonia\DYT1-GAG3\PreOP\Crush-False\MicrogliaDepletionMonth3,MicrogliaDepletionMonth3,None,None,None,None,M,None,None,None,None,DYT1,DYT1-GAG3,None,None,None,None,None,None,PreOP,None,PreOP,None
75,Crush,Crush-False,False,None,Dystonia_DYT1-GAG3_75_GAG3_M_PreOP_Crush-False_MicrogliaDepletionMonth3DLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,GAG3,Dystonia,GAG3,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Dystonia\DYT1-GAG3\PreOP\Crush-False\MicrogliaDepletionMonth3,MicrogliaDepletionMonth3,None,None,None,None,M,None,None,None,None,DYT1,DYT1-GAG3,None,None,None,None,None,None,PreOP,None,PreOP,None
132,Crush,Crush-False,False,None,Dystonia_DYT1-GAG3_132_GAG3_M_PreOP_Crush-False_NoneDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,GAG3,Dystonia,GAG3,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Dystonia\DYT1-GAG3\PreOP\Crush-False\None,None,None,None,None,None,M,None,None,None,None,DYT1,DYT1-GAG3,None,None,None,None,None,None,PreOP,None,PreOP,None
150,Crush,Crush-False,False,None,Dystonia_DYT1-GAG3_150_GAG3_M_PreOP_Crush-False_NoneDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,GAG3,Dystonia,GAG3,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Dystonia\DYT1-GAG3\PreOP\Crush-False\None,None,None,None,None,None,M,None,None,None,None,DYT1,DYT1-GAG3,None,None,None,None,None,None,PreOP,None,PreOP,None
187,Crush,Crush-False,False,None,Dystonia_DYT1-GAG3_187_GAG3_M_PreOP_Crush-False_NoneDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,GAG3,Dystonia,GAG3,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Dystonia\DYT1-GAG3\PreOP\Crush-False\None,None,None,None,None,None,M,None,None,None,None,DYT1,DYT1-GAG3,None,None,None,None,None,None,PreOP,None,PreOP,None
193,Crush,Crush-False,False,None,Dystonia_DYT1-GAG3_193_GAG3_M_PreOP_Crush-False_NoneDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,GAG3,Dystonia,GAG3,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Dystonia\DYT1-GAG3\PreOP\Crush-False\None,None,None,None,None,None,M,None,None,None,None,DYT1,DYT1-GAG3,None,None,None,None,None,None,PreOP,None,PreOP,None
248,Crush,Crush-False,False,None,Dystonia_DYT1-GAG3_248_GAG3_M_PreOP_Crush-False_NoneDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,GAG3,Dystonia,GAG3,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Dystonia\DYT1-GAG3\PreOP\Crush-False\None,None,None,None,None,None,M,None,None,None,None,DYT1,DYT1-GAG3,None,None,None,None,None,None,PreOP,None,PreOP,None
283,Crush,Crush-False,False,None,Dystonia_DYT1-GAG3_283_GAG3_M_PreOP_Crush-False_NoneDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,GAG3,Dystonia,GAG3,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Dystonia\DYT1-GAG3\PreOP\Crush-False\None,None,None,None,None,None,M,None,None,None,None,DYT1,DYT1-GAG3,None,None,None,None,None,None,PreOP,None,PreOP,None
