AnimalID,Crush,Crush-CrushCondition,CrushCondition,DBS-DBSCondition,FileName,Flox,Genotype,MainGroup,MolecularSubtype,MolecularSubtype1,MolecularSubtype2,Opsin,Path,Pharma,RNAIntervention,RNAType,RNAType-RNAIntervention,RealvsSham,Sex,Stim,Stim-StimCondition,StimCondition,StressCondition,Subtype,Subtype-MolecularSubtype,Subtype1,Subtype1-MolecularSubtype1-Subtype2-MolecularSubtype2,Subtype2,Surgery,Surgery-RealvsSham,TimeOfTesting,Timepoint,Timepoint-TimeOfTesting,Timepoint.1,Timepoint-TimeOfTesting.1
10,Crush,Crush-True,True,None,Dystonia_DYT1-GAG3_10_GAG3_M_PreOP_Crush-True_MicrogliaDepletionMonth3DLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,GAG3,Dystonia,GAG3,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Dystonia\DYT1-GAG3\PreOP\Crush-True\MicrogliaDepletionMonth3,MicrogliaDepletionMonth3,None,None,None,None,M,None,None,None,None,DYT1,DYT1-GAG3,None,None,None,None,None,None,PreOP,None,PreOP,None
4,Crush,Crush-True,True,None,Dystonia_DYT1-GAG3_4_GAG3_M_PreOP_Crush-True_MicrogliaDepletionMonth3DLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,GAG3,Dystonia,GAG3,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Dystonia\DYT1-GAG3\PreOP\Crush-True\MicrogliaDepletionMonth3,MicrogliaDepletionMonth3,None,None,None,None,M,None,None,None,None,DYT1,DYT1-GAG3,None,None,None,None,None,None,PreOP,None,PreOP,None
18,Crush,Crush-True,True,None,Dystonia_DYT1-GAG3_18_GAG3_M_PreOP_Crush-True_NoneDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,GAG3,Dystonia,GAG3,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Dystonia\DYT1-GAG3\PreOP\Crush-True\None,None,None,None,None,None,M,None,None,None,None,DYT1,DYT1-GAG3,None,None,None,None,None,None,PreOP,None,PreOP,None
10,Crush,Crush-True,True,None,Dystonia_DYT1-GAG3_10_GAG3_M_Week1_Crush-True_MicrogliaDepletionMonth3DLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,GAG3,Dystonia,GAG3,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Dystonia\DYT1-GAG3\Week1\Crush-True\MicrogliaDepletionMonth3,MicrogliaDepletionMonth3,None,None,None,None,M,None,None,None,None,DYT1,DYT1-GAG3,None,None,None,None,None,None,Week1,None,Week1,None
4,Crush,Crush-True,True,None,Dystonia_DYT1-GAG3_4_GAG3_M_Week1_Crush-True_MicrogliaDepletionMonth3DLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,GAG3,Dystonia,GAG3,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Dystonia\DYT1-GAG3\Week1\Crush-True\MicrogliaDepletionMonth3,MicrogliaDepletionMonth3,None,None,None,None,M,None,None,None,None,DYT1,DYT1-GAG3,None,None,None,None,None,None,Week1,None,Week1,None
18,Crush,Crush-True,True,None,Dystonia_DYT1-GAG3_18_GAG3_M_Week1_Crush-True_NoneDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,GAG3,Dystonia,GAG3,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Dystonia\DYT1-GAG3\Week1\Crush-True\None,None,None,None,None,None,M,None,None,None,None,DYT1,DYT1-GAG3,None,None,None,None,None,None,Week1,None,Week1,None
4,Crush,Crush-True,True,None,Dystonia_DYT1-GAG3_4_GAG3_M_Week12_Crush-True_MicrogliaDepletionMonth3DLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,GAG3,Dystonia,GAG3,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Dystonia\DYT1-GAG3\Week12\Crush-True\MicrogliaDepletionMonth3,MicrogliaDepletionMonth3,None,None,None,None,M,None,None,None,None,DYT1,DYT1-GAG3,None,None,None,None,None,None,Week12,None,Week12,None
10,Crush,Crush-True,True,None,Dystonia_DYT1-GAG3_10_GAG3_M_Week6_Crush-True_MicrogliaDepletionMonth3DLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,GAG3,Dystonia,GAG3,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Dystonia\DYT1-GAG3\Week6\Crush-True\MicrogliaDepletionMonth3,MicrogliaDepletionMonth3,None,None,None,None,M,None,None,None,None,DYT1,DYT1-GAG3,None,None,None,None,None,None,Week6,None,Week6,None
4,Crush,Crush-True,True,None,Dystonia_DYT1-GAG3_4_GAG3_M_Week6_Crush-True_MicrogliaDepletionMonth3DLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,GAG3,Dystonia,GAG3,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Dystonia\DYT1-GAG3\Week6\Crush-True\MicrogliaDepletionMonth3,MicrogliaDepletionMonth3,None,None,None,None,M,None,None,None,None,DYT1,DYT1-GAG3,None,None,None,None,None,None,Week6,None,Week6,None
18,Crush,Crush-True,True,None,Dystonia_DYT1-GAG3_18_GAG3_M_Week6_Crush-True_NoneDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,GAG3,Dystonia,GAG3,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Dystonia\DYT1-GAG3\Week6\Crush-True\None,None,None,None,None,None,M,None,None,None,None,DYT1,DYT1-GAG3,None,None,None,None,None,None,Week6,None,Week6,None
26,Crush,Crush-True,True,None,Dystonia_DYT1-KI_26_Tg_M_Week1_Crush-True_NoneDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,Tg,Dystonia,KI,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Dystonia\DYT1-KI\Week1\Crush-True\None,None,None,None,None,None,M,None,None,None,None,DYT1,DYT1-KI,None,None,None,None,None,None,Week1,None,Week1,None
33,Crush,Crush-True,True,None,Dystonia_DYT1-KI_33_Tg_M_Week1_Crush-True_NoneDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,Tg,Dystonia,KI,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Dystonia\DYT1-KI\Week1\Crush-True\None,None,None,None,None,None,M,None,None,None,None,DYT1,DYT1-KI,None,None,None,None,None,None,Week1,None,Week1,None
35,Crush,Crush-True,True,None,Dystonia_DYT1-KI_35_Tg_M_Week1_Crush-True_NoneDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,Tg,Dystonia,KI,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Dystonia\DYT1-KI\Week1\Crush-True\None,None,None,None,None,None,M,None,None,None,None,DYT1,DYT1-KI,None,None,None,None,None,None,Week1,None,Week1,None
56,None,None,None,None,HSP-SPG_SPG11-KO_56_SPG11-KO_F_Month3_None_FingolimodDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,SPG11-KO,HSP-SPG,None,KO,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\HSP-SPG\SPG11-KO\F\Month3\Fingolimod,Fingolimod,None,None,None,None,F,None,None,None,None,None,None,SPG11,SPG11-KO,None,None,None,None,Month3,None,Month3,None
62,None,None,None,None,HSP-SPG_SPG11-KO_62_SPG11-KO_F_Month3_None_FingolimodDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,SPG11-KO,HSP-SPG,None,KO,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\HSP-SPG\SPG11-KO\F\Month3\Fingolimod,Fingolimod,None,None,None,None,F,None,None,None,None,None,None,SPG11,SPG11-KO,None,None,None,None,Month3,None,Month3,None
58,None,None,None,None,HSP-SPG_SPG11-KO_58_SPG11-KO_M_Month3_None_FingolimodDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,SPG11-KO,HSP-SPG,None,KO,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\HSP-SPG\SPG11-KO\M\Month3\Fingolimod,Fingolimod,None,None,None,None,M,None,None,None,None,None,None,SPG11,SPG11-KO,None,None,None,None,Month3,None,Month3,None
60,None,None,None,None,HSP-SPG_SPG11-KO_60_SPG11-KO_M_Month3_None_FingolimodDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,SPG11-KO,HSP-SPG,None,KO,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\HSP-SPG\SPG11-KO\M\Month3\Fingolimod,Fingolimod,None,None,None,None,M,None,None,None,None,None,None,SPG11,SPG11-KO,None,None,None,None,Month3,None,Month3,None
61,None,None,None,None,HSP-SPG_SPG11-KO_61_SPG11-KO_M_Month3_None_FingolimodDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,SPG11-KO,HSP-SPG,None,KO,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\HSP-SPG\SPG11-KO\M\Month3\Fingolimod,Fingolimod,None,None,None,None,M,None,None,None,None,None,None,SPG11,SPG11-KO,None,None,None,None,Month3,None,Month3,None
33,None,None,None,None,HSP-SPG_SPG11-WT_33_SPG11-WT_F_Month3_None_NoneDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,SPG11-WT,HSP-SPG,None,WT,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\HSP-SPG\SPG11-WT\F\Month3\None,None,None,None,None,None,F,None,None,None,None,None,None,SPG11,SPG11-WT,None,None,None,None,Month3,None,Month3,None
43,None,None,None,None,HSP-SPG_SPG11-WT_43_SPG11-WT_M_Month3_None_NoneDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,SPG11-WT,HSP-SPG,None,WT,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\HSP-SPG\SPG11-WT\M\Month3\None,None,None,None,None,None,M,None,None,None,None,None,None,SPG11,SPG11-WT,None,None,None,None,Month3,None,Month3,None
12,None,None,None,None,Parkinson_A53T_12_None_None_Week10_None_NoneDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,None,Parkinson,None,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Parkinson\A53T\Week10\None,None,None,None,None,None,None,None,None,None,None,A53T,A53T,None,None,None,None,None,None,Week10,None,Week10,None
16,None,None,None,None,Parkinson_A53T_16_None_None_Week10_None_NoneDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,None,Parkinson,None,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Parkinson\A53T\Week10\None,None,None,None,None,None,None,None,None,None,None,A53T,A53T,None,None,None,None,None,None,Week10,None,Week10,None
17,None,None,None,None,Parkinson_A53T_17_None_None_Week10_None_NoneDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,None,Parkinson,None,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Parkinson\A53T\Week10\None,None,None,None,None,None,None,None,None,None,None,A53T,A53T,None,None,None,None,None,None,Week10,None,Week10,None
18,None,None,None,None,Parkinson_A53T_18_None_None_Week10_None_NoneDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,None,Parkinson,None,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Parkinson\A53T\Week10\None,None,None,None,None,None,None,None,None,None,None,A53T,A53T,None,None,None,None,None,None,Week10,None,Week10,None
19,None,None,None,None,Parkinson_A53T_19_None_None_Week10_None_NoneDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,None,Parkinson,None,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Parkinson\A53T\Week10\None,None,None,None,None,None,None,None,None,None,None,A53T,A53T,None,None,None,None,None,None,Week10,None,Week10,None
4,None,None,None,None,Parkinson_A53T_4_None_None_Week10_None_NoneDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,None,Parkinson,None,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Parkinson\A53T\Week10\None,None,None,None,None,None,None,None,None,None,None,A53T,A53T,None,None,None,None,None,None,Week10,None,Week10,None
5,None,None,None,None,Parkinson_A53T_5_None_None_Week10_None_NoneDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,None,Parkinson,None,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Parkinson\A53T\Week10\None,None,None,None,None,None,None,None,None,None,None,A53T,A53T,None,None,None,None,None,None,Week10,None,Week10,None
6,None,None,None,None,Parkinson_A53T_6_None_None_Week10_None_NoneDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,None,Parkinson,None,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Parkinson\A53T\Week10\None,None,None,None,None,None,None,None,None,None,None,A53T,A53T,None,None,None,None,None,None,Week10,None,Week10,None
7,None,None,None,None,Parkinson_A53T_7_None_None_Week10_None_NoneDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,None,Parkinson,None,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Parkinson\A53T\Week10\None,None,None,None,None,None,None,None,None,None,None,A53T,A53T,None,None,None,None,None,None,Week10,None,Week10,None
8,None,None,None,None,Parkinson_A53T_8_None_None_Week10_None_NoneDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,None,Parkinson,None,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Parkinson\A53T\Week10\None,None,None,None,None,None,None,None,None,None,None,A53T,A53T,None,None,None,None,None,None,Week10,None,Week10,None
51,None,None,None,None,Parkinson_A53T_51_PV-Cre-ArchT_M_Week10_Opto-On_NoneDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,Cre,PV,Parkinson,None,None,None,ArchT,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Parkinson\A53T\Week10\Opto-On,None,None,None,None,None,M,Opto,Opto-On,On,None,A53T,A53T,None,None,None,None,None,None,Week10,None,Week10,None
5,None,None,None,None,Parkinson_A53T_5_None_None_Week2_None_NoneDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,None,Parkinson,None,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Parkinson\A53T\Week2,None,None,None,None,None,None,None,None,None,None,A53T,A53T,None,None,None,None,None,None,Week2,None,Week2,None
6,None,None,None,None,Parkinson_A53T_6_None_None_Week2_None_NoneDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,None,Parkinson,None,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Parkinson\A53T\Week2,None,None,None,None,None,None,None,None,None,None,A53T,A53T,None,None,None,None,None,None,Week2,None,Week2,None
7,None,None,None,None,Parkinson_A53T_7_None_None_Week2_None_NoneDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,None,Parkinson,None,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Parkinson\A53T\Week2,None,None,None,None,None,None,None,None,None,None,A53T,A53T,None,None,None,None,None,None,Week2,None,Week2,None
8,None,None,None,None,Parkinson_A53T_8_None_None_Week2_None_NoneDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,None,Parkinson,None,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Parkinson\A53T\Week2,None,None,None,None,None,None,None,None,None,None,A53T,A53T,None,None,None,None,None,None,Week2,None,Week2,None
10,None,None,None,None,Parkinson_A53T_10_None_None_Week4_None_NoneDLC_resnet152_myDLC_modelZoo_test2Mar3shuffle1_1000000.csv,None,None,Parkinson,None,None,None,None,Z:\Johannes1\Forschung\Projects\Project_OPF_Kinematics_Sorted\data\Parkinson\A53T\Week4\None,None,None,None,None,None,None,None,None,None,None,A53T,A53T,None,None,None,None,None,None,Week4,None,Week4,None
